name	age	reading_level	teaching_task	LLM Output	spache	flesch	flesch_kincaid	ari	coleman_liau	dale_chall	gunning_fog	linsear_write	smog	num_letters	num_words	num_sentences	num_polysyllabic_words	avg_words_per_sentence	avg_syllables_per_word
William	7	2	How to get ready for school	['Choose and dress a character in school clothes', 'Arrange and pack a backpack with school supplies', 'Prepare and eat a healthy breakfast', 'Brush teeth and comb hair', 'Put on socks and shoes', 'Select and wear a coat or jacket', 'Find and put on a hat or scarf (if needed)', 'Check for lost items before leaving home', 'Practice saying goodbye to a caregiver', 'Follow a character through a school day to reinforce the importance of being ready']	-1	-1	-1	-1	-1	-1	-1	-1	-1	342	76	10	4	7.6	1.355263157894737
William	7	2	How to identify shapes	['Find the triangle shape among a group of circles and squares', 'Match the shape cards with the correct names: circle, square, triangle, rectangle', 'Pick the odd shape out of a group of shapes with the same color', 'Trace the given shape with your finger on the screen', 'Identify and count the number of circles, squares, and triangles in a scene', 'Draw the shape that matches the given name: circle, square, triangle, rectangle', 'Find the shape that is different from the others in size, color, or orientation', 'Sort a group of shapes based on the number of sides: 3 (triangle), 4 (square), 5+ (other polygons)', 'Choose the correct shape to complete a given pattern or sequence', 'Find the hidden shapes within a busy scene or picture']	5.34575873015873	79.90314285714288	5.118634920634921	6.102380952380955	8.357460317460315	6.767809206349206	6.627301587301587	5.9	-1	568	126	10	6	12.6	1.3492063492063493
William	7	2	How to read body language	['Task 1: Observe facial expressions and guess the emotion', 'Task 2: Match body postures with corresponding emotions', 'Task 3: Arrange images of characters in order of increasing excitement', 'Task 4: Identify and categorize different types of hand gestures', 'Task 5: Recognize and decode non-verbal cues during conversations', 'Task 6: Sort pictures of characters based on their level of confidence', 'Task 7: Guess the mood of a character by analyzing their body language', 'Task 8: Practice identifying lying body language', 'Task 9: Learn the difference between friendly and aggressive body language', 'Task 10: Match body language cues to appropriate social situations']	8.011	47.789000000000016	8.978000000000002	8.956899999999997	12.933199999999996	10.6064	11.600000000000001	6.2	-1	539	100	10	22	10.0	1.76
William	7	2	How to understand facial expressions	['Match the facial expressions to the emotions: happy, sad, angry, surprised', "Identify the emotion in a character's facial expression during a short story", 'Arrange the facial features to create a specific emotion', "Guess the emotion based on a character's eyebrows and mouth", 'Choose the correct emotion from a list for a given facial expression', "Observe the changes in a character's facial expression as they experience different emotions", 'Determine the intensity of an emotion by comparing two different facial expressions', 'Find the odd facial expression out in a group of similar emotions', 'Unscramble facial features to reveal a hidden emotion', 'Complete a facial expression by adding missing features to show an emotion']	6.587883783783784	40.849581081081084	10.208180180180182	9.367297297297299	13.052252252252249	10.446159099099098	14.890450450450452	7.75	-1	595	111	10	32	11.1	1.8288288288288288
William	7	2	How to share with others	['Task 1: Gather toys from around the room and divide them into two groups', 'Task 2: Help a virtual character pick items to share with friends', 'Task 3: Sort different fruits into equal portions for sharing', 'Task 4: Match pairs of objects to be shared equally among characters', 'Task 5: Solve a puzzle to help two friends share a large toy', 'Task 6: Choose and distribute treats for a birthday party', 'Task 7: Guide characters in a story to share their snacks with each other', 'Task 8: Arrange items on a virtual table to share between two groups', 'Task 9: Assist characters in a game to divide a cake equally', 'Task 10: Help characters learn to share by taking turns with a toy']	6.418828455284553	79.48708536585369	5.1051382113821155	4.938536585365853	7.034471544715444	7.455929593495934	7.846829268292684	6.05	-1	528	123	10	9	12.3	1.3577235772357723
William	7	2	How to empathise with others	['Task 1: Guess Emotions Game', 'Task 2: Help a Virtual Character with Their Problem', 'Task 3: Story Time: Understanding Feelings', 'Task 4: Roleplaying Scenarios', 'Task 5: Color-Matching Emotions Activity', 'Task 6: Empathy Maze', 'Task 7: Emotional Charades', 'Task 8: Matching Reactions to Emotions', 'Task 9: Empathy Board Game', 'Task 10: Empathy Memory Game']	-1	-1	-1	-1	-1	-1	-1	-1	-1	274	53	10	14	5.3	1.7547169811320755
William	7	2	How to handle identify emotions	['Task 1: Choose the correct facial expression to match a given emotion.', 'Task 2: Listen to an audio clip of a character describing their feelings and pick the appropriate emotion.', "Task 3: Arrange a series of images in the correct order to show how a character's emotions change throughout a story.", 'Task 4: Match the emotion word with the correct emoji.', 'Task 5: Play a memory game where you match emotion words with their corresponding descriptions.', 'Task 6: Help a character solve a problem by selecting the best response based on their emotions.', 'Task 7: Sort a collection of images based on the emotions they represent.', 'Task 8: Create a story using emotion words and explain how the characters feel at different points in the story.', 'Task 9: Identify the emotions of characters in a short animated video and write a summary of their feelings.', 'Task 10: Play a game where you have to guess the emotion of a character based on their body language.']	7.444124137931034	60.32917241379312	8.993264367816092	8.275517241379312	8.72229885057471	9.58137908045977	13.626666666666665	11.7	-1	776	174	10	30	17.4	1.5229885057471264
William	7	2	How to deal with emotions	['Scene 1: Recognize emotions', 'Scene 2: Expressing feelings through art', 'Scene 3: The importance of sharing emotions', 'Scene 4: Identifying and dealing with anger', 'Scene 5: Managing sadness and disappointment', 'Scene 6: Coping with fear and anxiety', 'Scene 7: Learning to forgive', 'Scene 8: Building empathy and understanding', 'Scene 9: Practicing mindfulness and relaxation', 'Scene 10: Celebrating positive emotions']	-1	-1	-1	-1	-1	-1	-1	-1	-1	332	59	10	17	5.9	1.8135593220338984
William	7	2	How to spell their name	['Task 1: Touch the letters to spell your name: W-I-L-L-I-A-M', 'Task 2: Drag and drop the correct letters to form your name: W, I, L, L, I, A, M', 'Task 3: Match the scrambled letters to spell your name: M, L, A, I, W, L, I', 'Task 4: Tap the letters in order to spell your name: W, I, L, L, I, A, M', 'Task 5: Pick the correct letters to spell your name: W, I, L, L, I, A, M', 'Task 6: Fill in the missing letters to spell your name: W__L__I__A__M', 'Task 7: Trace the letters to spell your name: W, I, L, L, I, A, M', 'Task 8: Reveal the hidden letters to spell your name: W _ _ L _ _ I _ A _ M', 'Task 9: Connect the dots to spell your name: W, I, L, L, I, A, M', 'Task 10: Choose the correct spelling from multiple options: WILLIAM']	8.821166666666667	70.0725	12.426666666666666	12.737400000000001	2.657866666666667	11.4967	15.266666666666666	19.25	-1	491	150	4	2	37.5	1.1666666666666667
William	7	2	How to solve a maze	['Task 1: Start by looking at the maze and understanding the goal. Identify the starting point and the exit.', 'Task 2: Trace a path from the starting point to the exit using a pencil or finger on a physical maze or by mentally visualizing the path in a digital maze.', 'Task 3: Identify any dead-ends in the maze and mark them as such to avoid getting stuck.', 'Task 4: Look for patterns in the maze, such as repeated shapes or pathways, to help guide your decision-making.', 'Task 5: Use landmarks within the maze to help remember your path and avoid retracing your steps.', 'Task 6: If you encounter a dead-end, backtrack to the last decision point and try a different path.', 'Task 7: In a more challenging maze, try to create a mental map of the maze as you progress, noting key points and paths.', 'Task 8: As you get closer to the exit, slow down and carefully analyze each decision to avoid making mistakes.', 'Task 9: Practice maze-solving regularly to improve your skills and become more efficient.', 'Task 10: Celebrate your success and challenge yourself with increasingly complex mazes as you progress.']	7.1748073807380734	65.90283978397844	8.445607560756077	8.41053105310531	8.378613861386139	9.706445274527454	10.909810981098111	11.272727272727273	-1	886	202	11	23	18.363636363636363	1.4455445544554455
