name	age	reading_level	teaching_task	LLM Output	spache	flesch	flesch_kincaid	ari	coleman_liau	dale_chall	gunning_fog	linsear_write	smog	num_letters	num_words	num_sentences	num_polysyllabic_words	avg_words_per_sentence	avg_syllables_per_word
William	7	10	How to get ready for school	[{'task': 'Match Clothes', 'description': 'Match the correct clothes (shirt, pants, socks, shoes) with the weather and school day (Monday, Tuesday, etc.) using a drag-and-drop interface.'}, {'task': 'Brush Teeth', 'description': "Brush the cartoon character's teeth by dragging the toothbrush over their teeth on the screen."}, {'task': 'Make Bed', 'description': 'Make the bed by pulling up the covers and smoothing the pillows.'}, {'task': 'Pack Backpack', 'description': 'Pack a backpack with the correct items (book, pencil, water bottle, etc.) by dragging and dropping.'}, {'task': 'Tie Shoes', 'description': 'Tie virtual shoelaces by following a step-by-step guide on the screen.'}, {'task': 'Find Missing Items', 'description': 'Help find missing school items by looking in various places in the virtual environment.'}, {'task': 'Dress the Doll', 'description': 'Dress a doll by choosing and putting on the correct clothes.'}, {'task': 'Eat Breakfast', 'description': 'Help the character eat a nutritious breakfast by dragging food items to their plate.'}, {'task': 'Take Bus/Walk to School', 'description': 'Take a virtual bus or walk to school by following a map and making choices along the way.'}, {'task': 'Review Schedule', 'description': 'Review the daily schedule and prepare for each activity by choosing the correct materials or tools.'}]	6.689790609137056	63.91624576988157	8.258485617597294	10.710871404399327	12.274517766497464	7.576705752961083	10.830626057529612	10.208333333333334	-1	1001	197	12	24	16.416666666666668	1.4923857868020305
William	7	10	How to identify shapes	[{'task': 'Identify the shape of simple objects around the room'}, {'task': 'Match shapes in a puzzle'}, {'task': 'Trace the outline of shapes using a crayon'}, {'task': 'Find and collect shapes from the room or a picture'}, {'task': 'Sort shapes by type in a box'}, {'task': 'Create a shape collage using magazine cutouts'}, {'task': 'Draw a shape using verbal instructions'}, {'task': 'Identify shapes in a picture book'}, {'task': 'Play shape memory game'}, {'task': 'Build a tower using only square and circular blocks'}]	-1	-1	-1	-1	-1	-1	-1	-1	-1	366	83	1	6	83.0	1.3855421686746987
William	7	10	How to read body language	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	0	1.0	1.0
William	7	10	How to understand facial expressions	[{'task': "Match the happy face with the word 'happy'", 'prompt': 'Look at the happy face and find the matching word.'}, {'task': 'Find the sad face among 3 faces', 'prompt': 'Which face looks sad? Point to it.'}, {'task': 'Draw a smile on a blank face', 'prompt': 'Help the face look happy by drawing a smile.'}, {'task': "Identify the facial expression of 'surprised' in a picture", 'prompt': 'Look at the picture and find the surprised face.'}, {'task': 'Put the happy and sad faces in the correct order', 'prompt': 'Arrange the happy and sad faces in the correct sequence.'}, {'task': 'Label the facial expression of a picture', 'prompt': 'Look at the picture and label the facial expression.'}, {'task': 'Make a face like the angry face shown', 'prompt': 'Make a face like the angry face to understand it better.'}, {'task': 'Watch a video of people expressing different emotions and identify them', 'prompt': 'Watch the video and point to or label the emotion.'}, {'task': 'Create a story where a character changes emotions', 'prompt': 'Create a story where the character goes from happy to sad or vice versa.'}, {'task': 'Use facial expressions to act out a simple emotion-based story', 'prompt': 'Act out the story using facial expressions.'}]	6.358066433566433	69.69034965034967	8.04737762237762	8.449641608391609	8.133461538461535	8.218237062937064	10.640559440559443	11.090909090909092	-1	902	208	11	18	18.90909090909091	1.3942307692307692
William	7	10	How to share with others	[{'task': 'Share a toy with a computer friend for 5 seconds', 'description': 'Help a computer friend play with a toy by sharing it for a short time.'}, {'task': 'Take turns sharing a toy with a virtual buddy', 'description': 'Play a turn-based game with a virtual buddy where you both take turns sharing a toy.'}, {'task': 'Share a snack with a game character', 'description': 'Help a game character enjoy a snack by sharing it with them.'}, {'task': 'Share a puzzle piece with a virtual friend', 'description': 'Work on a puzzle together with a virtual friend, sharing pieces to complete it.'}, {'task': 'Share colors with a game character using a magic wand', 'description': 'Use a magic wand to share colors with a game character to help them complete a task.'}, {'task': 'Share stickers with a game buddy', 'description': 'Decorate a virtual scrapbook with stickers, taking turns to add them.'}, {'task': 'Share a storybook page with a game character', 'description': 'Read a storybook page aloud to a game character and share the fun of reading together.'}, {'task': 'Take turns sharing cards in a virtual card game', 'description': 'Play a card game with a virtual friend, sharing cards to make the best hand.'}, {'task': 'Share a drawing with a game character', 'description': 'Draw a picture and share it with a game character, helping them appreciate art.'}, {'task': 'Share a musical instrument with a virtual friend', 'description': 'Play a musical instrument together with a virtual friend, taking turns to create music.'}]	7.456767741935483	61.24445161290325	10.629967741935484	12.544838709677421	9.940645161290323	8.177386451612904	14.758709677419356	15.6	-1	1136	248	10	32	24.8	1.4233870967741935
William	7	10	How to empathise with others	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	0	1.0	1.0
William	7	10	How to handle identify emotions	[{'task': 'Emotion Matching Game', 'description': 'Match the face with the correct emotion word.'}, {'task': 'Emotion Memory Game', 'description': 'Remember and match the emotion faces in pairs.'}, {'task': 'Emotion Sorting Puzzle', 'description': 'Sort the emotion faces into happy, sad, angry, and surprised categories.'}, {'task': 'Emotion Charades', 'description': 'Act out an emotion and let others guess which one it is.'}, {'task': 'Emotion Story Time', 'description': 'Listen to a story and identify the emotions of the characters.'}, {'task': 'Emotion Drawing Game', 'description': 'Draw a picture of a face showing a certain emotion.'}, {'task': 'Emotion Feelings Game', 'description': 'Discover how emotions make us feel inside.'}, {'task': 'Emotion Mood Swings Game', 'description': 'Identify the emotions that come with different moods.'}, {'task': 'Emotion Collage', 'description': 'Create a collage of pictures that represent different emotions.'}, {'task': 'Emotion Memory Quiz', 'description': "Test your memory skills and recall the emotions you've learned."}]	7.123944897959184	42.857357142857154	10.78647619047619	11.104081632653063	13.626394557823126	9.843783265306122	13.49904761904762	11.65	-1	786	147	10	43	14.7	1.7619047619047619
William	7	10	How to deal with emotions	[{'task': 'Identify Emotions: Find and click on the correct emotion face when shown a series of pictures.'}, {'task': 'Emotion Matching: Match emotion words with their corresponding face.'}, {'task': 'Feelings Charades: Act out emotions for others to guess.'}, {'task': 'Emotion Scavenger Hunt: Find objects around the room that represent different emotions.'}, {'task': 'Emotion Story: Read a story about emotions and identify how the characters are feeling.'}, {'task': 'Emotion Drawing: Draw a picture of a situation and label the emotions of the characters.'}, {'task': 'Emotion Sorting: Sort pictures of people displaying different emotions into categories.'}, {'task': 'Emotion Rhymes: Memorize rhymes about different emotions and perform them.'}, {'task': 'Emotion Dice: Roll a dice to determine an emotion, then act it out.'}, {'task': 'Emotion Journal: Write about a time when they felt a certain emotion and why.'}]	6.755833333333333	47.745833333333366	9.81851851851852	9.498000000000001	12.1914074074074	9.45247037037037	11.91851851851852	10.15	-1	693	135	10	34	13.5	1.7185185185185186
William	7	10	How to spell their name	[{'Task': 'Spell their name using uppercase letters.', 'Description': "Let's make their name stand out by spelling it using uppercase letters!", 'LearningStyle': ['Visual'], 'Complexity': 'Easy'}, {'Task': 'Spell their name using lowercase letters.', 'Description': "Can you spell their name using small letters? It's a fun challenge!", 'LearningStyle': ['Visual'], 'Complexity': 'Medium'}, {'Task': 'Spell their name forwards.', 'Description': "Let's see if you can spell their name in the correct order!", 'LearningStyle': ['Auditory'], 'Complexity': 'Easy'}, {'Task': 'Spell their name backwards.', 'Description': 'This is a bit more challenging! Can you spell their name backwards?', 'LearningStyle': ['Auditory'], 'Complexity': 'Medium'}, {'Task': 'Complete the missing letters in their name.', 'Description': "Let's see if you can fill in the missing letters!", 'LearningStyle': ['Visual'], 'Complexity': 'Medium'}, {'Task': 'Spell their name using magnetic letters.', 'Description': 'Arrange the magnetic letters to spell their name!', 'LearningStyle': ['Tactile'], 'Complexity': 'Medium'}, {'Task': 'Spell their name using letter blocks.', 'Description': 'Build their name using letter blocks!', 'LearningStyle': ['Tactile'], 'Complexity': 'Medium'}, {'Task': 'Spell their name using a keyboard.', 'Description': "Let's practice spelling their name on a keyboard!", 'LearningStyle': ['Auditory'], 'Complexity': 'Hard'}, {'Task': 'Spell their name using a touch screen.', 'Description': 'Let'}]	6.8627157276995305	57.80553169014084	7.735873239436621	8.01992957746479	11.53840375586854	10.021124976525822	5.386760563380282	6.125	-1	1091	213	20	36	10.65	1.6338028169014085
William	7	10	How to solve a maze	[{'task': 'Maze Warm-Up: Simple Path', 'description': 'Follow the given path in a small maze to collect a reward.'}, {'task': 'Maze Mirror: Identical Paths', 'description': 'Find the identical paths in two mazes.'}, {'task': 'Maze Direction: Left or Right', 'description': 'Determine which direction to turn at each intersection.'}, {'task': 'Maze Shortcuts: Finding Shorter Paths', 'description': 'Find alternative routes to reach the end faster.'}, {'task': 'Maze Dead Ends: Avoiding Them', 'description': 'Identify dead ends and learn to avoid them.'}, {'task': 'Maze Backtracking: Reaching the End', 'description': 'Learn to retrace your steps when necessary to reach the end.'}, {'task': 'Maze Obstacles: Overcoming Challenges', 'description': 'Navigate around or over obstacles in the maze.'}, {'task': 'Maze Multi-Step: Planning Ahead', 'description': 'Plan several steps ahead to reach the end of the maze.'}, {'task': 'Maze Expansion: Complex Mazes', 'description': 'Solve larger and more complex mazes with multiple paths and intersections.'}, {'task': 'Maze Time Challenge: Fastest Path', 'description': 'Complete the maze in the shortest time possible.'}]	7.462032075471699	54.485179245283035	9.450742138364784	11.758490566037736	13.846289308176093	10.582246918238994	11.391446540880503	11.05	-1	852	159	10	31	15.9	1.610062893081761
